scope,height_m,nmse,mean_error_norm,mean_error_encoded,mae_norm,rmse_norm,mae_encoded,rmse_encoded,psnr_db,ssim
z100,100.0,0.0011513314139555333,-0.0214903571177274,-5.480041065020487,0.02149633993394673,0.022175581221112066,5.481566683156416,5.654773211383577,33.08249977011526,0.9678389510391925
z110,110.0,0.0009222313675203619,-0.019058190169744194,-4.859838493284769,0.019067244371399283,0.019745927879451983,4.862147314706817,5.035211609260256,34.09044907095422,0.9712525899338971
z120,120.0,0.0007827025685247383,-0.017391752335242927,-4.434896845486946,0.017395737930200994,0.018109551636802047,4.4359131722012535,4.617935667384522,34.841846039630745,0.972500268682201
z130,130.0,0.0006876649108777294,-0.01618343184236437,-4.126775119802915,0.01618343184236437,0.016902650752611527,4.126775119802915,4.310175941915939,35.44090363913658,0.974261591063874
