strategy,run_count,rmse_encoded_mean,rmse_encoded_std,psnr_db_mean,psnr_db_std,ssim_mean,ssim_std,mean_error_encoded_mean,mean_error_encoded_std,rmse_rank_mean
random,3,4.902892753712082,0.14345177432569095,34.32422777881417,0.25363480224977014,0.9756991703425371,0.0007535782099612113,-4.734218448006105,0.15090068960407188,1
proposed_v2_j,3,4.925937885639672,0.09649529713724399,34.282134958867175,0.17002809251912,0.9748101044624775,0.0006665717696229011,-4.750937577101248,0.09609215552361003,2
uniform_grid,3,5.093882059257843,0.1193566409732562,33.99140262368329,0.2022815768886447,0.9758643257052219,0.0004873672480977264,-4.9290985529181315,0.12138249000837688,3
proposed,3,5.363227688290028,0.14067238308100893,33.54427481088175,0.22816890998870645,0.9766175519217221,0.0012704682016351822,-5.209889339649636,0.15136567397298767,4
weak_only,3,5.555853453065613,0.02856065434110104,33.23586454955875,0.04467971765151862,0.9744086057669678,0.0018279462653533348,-5.396760255612768,0.016965287087122766,5
