initial_ratio,budget_ratio,strategy,run_count,final_sampled_ratio,rmse_encoded_mean,rmse_encoded_std,psnr_db_mean,psnr_db_std,ssim_mean,ssim_std,mean_error_encoded_mean,mean_error_encoded_std
0.02,0.01,proposed_v2_j,1,0.0701711491442542,5.373502539140898,0.0,33.52565444007478,0.0,0.9756004679993606,0.0,-5.211704969249397,0.0
0.05,0.02,proposed_v2_j,1,0.150122249388753,5.025138564911991,0.0,34.10784277579585,0.0,0.9740774217873354,0.0,-4.848649568589976,0.0
0.1,0.02,proposed_v2_j,1,0.2002444987775061,4.760893145029897,0.0,34.57703492581631,0.0,0.9747923177769664,0.0,-4.580755635563003,0.0
0.02,0.01,random,1,0.0701711491442542,5.155960078762082,0.0,33.88461268734217,0.0,0.9741403047115016,0.0,-4.977688342372023,0.0
0.05,0.02,random,1,0.150122249388753,5.053321940496949,0.0,34.05926425967759,0.0,0.9763356771421284,0.0,-4.890875185403643,0.0
0.1,0.02,random,1,0.2002444987775061,4.781630630098318,0.0,34.53928311204584,0.0,0.974667678956574,0.0,-4.601894587834141,0.0
