main_strategy,zero_shot_rmse_encoded,active_rmse_encoded,rmse_improvement,rmse_improvement_pct,zero_shot_psnr_db,active_psnr_db,psnr_gain_db,zero_shot_ssim,active_ssim,ssim_gain,zero_shot_mean_error_encoded,active_mean_error_encoded,experiment_group,scene_id,run_count
proposed_v2_j,4.9957806336087,4.527599290223183,0.46818134338551687,9.371535255889055,34.15873640657024,35.01344394536488,0.854707538794635,0.962705301919558,0.9759990166967044,0.01329371477714636,-4.729526682640426,-4.339665847326688,scene12_development,12,1
proposed_v2_j,5.160447995134944,5.025138564911991,0.13530943022295272,2.622048131296291,33.87705549330731,34.10784277579585,0.2307872824885422,0.970838626923254,0.9740774217873354,0.003238794864081407,-4.959252568940953,-4.848649568589976,scene13_single_run,13,1
proposed_v2_j,5.160447995134944,4.925937885639672,0.23451010949527173,4.544375017757337,33.87705549330731,34.282134958867175,0.40507946555986507,0.970838626923254,0.9748101044624775,0.003971477539223556,-4.959252568940953,-4.750937577101248,scene13_stability_mean,13,3
